material_id,tier,rank,vendor_name,location,country,vendor_type,match_category,confidence_score,global_rank,capacity_or_stock,certifications,delivery_evidence,contact_address,contact_email,contact_phone,source_url,unresolved_issues,recommended_next_step
M-03,AHMEDABAD,1,Gujarat Infra Pipes Pvt Ltd,"Ahmedabad, Gujarat",India,AUTHORIZED_DISTRIBUTOR,EXACT_MATCH,97.0,5,"Maintains 2,500 MT ready stock in Odhav warehouse with overhead gantry cranes for bulk dispatch.",ISO 9001:2015; BIS Dealer Certificate; IS 1239 Endorsement,Local same-day and next-day fleet delivery across Ahmedabad municipal and Sanand/Vatva industrial zones.,"Plot 142, Phase II, GIDC Industrial Estate, Odhav, Ahmedabad, Gujarat 382415",sales@gujaratinfrapipes.com,+91-79-2287-4100,https://www.gujaratinfrapipes.com/products/is1239-ms-erw-pipes.html,,Issue RFQ to Gujarat Infra Pipes Pvt Ltd for immediate local stock check and same-day depot pickup quote.
M-03,AHMEDABAD,2,Western Steel Agency Ahmedabad,"Ahmedabad, Gujarat",India,STOCKIST_TRADER,EXACT_MATCH,89.0,7,"Central stocking yard of 1,800 MT with specialized tie-ups for thick-walled ERW pipes.",ISO 9001:2015; Authorized Stockist for Jindal & Surya,Direct trailer dispatch from Naroda yard to any GIDC estate in Ahmedabad within 24 hours.,"Shed 28, Naroda GIDC Industrial Park, Naroda, Ahmedabad, Gujarat 382330",procurement@westernsteelgujarat.com,+91-79-2281-9040,https://www.westernsteelgujarat.com/catalog/erw-pipes-ahmedabad.pdf,,Issue RFQ to Western Steel Agency Ahmedabad for immediate local stock check and same-day depot pickup quote.
M-03,AHMEDABAD,3,Kishore Brothers Steel Yard (Changodar),"Changodar, Ahmedabad, Gujarat",India,STOCKIST_TRADER,EXACT_MATCH,73.2,14,Open stockyard of 250 MT mixed structural and piping lots.,,,"Survey 401, Sarkhej-Bavla Highway, Changodar, Ahmedabad 382213",,+91-94260-33445,https://www.tradeindia.com/kishore-brothers-changodar/,Commercial contact email unlisted.; No accredited quality (ISO/BIS) certifications verified on record.; Delivery and freight logistics arrangement unverified.,Issue RFQ to Kishore Brothers Steel Yard (Changodar) for immediate local stock check and same-day depot pickup quote.
M-03,AHMEDABAD,4,Ashapura Steel Tube Corporation,"Ahmedabad, Gujarat",India,STOCKIST_TRADER,CATEGORY_LEVEL_LEAD,72.0,16,900 MT physical inventory with daily turn ratio.,ISO 9001:2015,Local transport fleet stationed at Vatva GIDC; covers Ahmedabad district within 12 hours.,"Phase IV, Vatva Industrial Estate, Ahmedabad, Gujarat 382445",inquiry@ashapurasteeltubes.in,+91-79-2583-1290,https://www.ashapurasteeltubes.in/mild-steel-erw-pipes.html,,Issue RFQ to Ashapura Steel Tube Corporation for immediate local stock check and same-day depot pickup quote.
M-03,AHMEDABAD,5,Shree Ram Metal Traders (Vatva),"Ahmedabad, Gujarat",India,STOCKIST_TRADER,CATEGORY_LEVEL_LEAD,65.0,17,,GST Registered Trader,Arranges third-party hired trucks on buyer freight basis.,,shreeram.vatva@gmail.com,+91-79-2589-9900,https://www.shreerammetaltraders.in/erw-stock.html,Physical facility or warehouse address unlisted.; Stock availability and production capacity unverified.,Issue RFQ to Shree Ram Metal Traders (Vatva) for immediate local stock check and same-day depot pickup quote.
M-03,AHMEDABAD,6,Apex Piping Solutions (Sanand),"Sanand GIDC, Ahmedabad, Gujarat",India,AUTHORIZED_DISTRIBUTOR,CATEGORY_LEVEL_LEAD,59.2,18,Maintains 400 MT buffer inventory near automobile manufacturing plants.,,"Same-day dispatch to Sanand, Changodar, and Viramgam industrial clusters.","Plot 88, Sanand Industrial Area II, Ahmedabad, Gujarat 382110",info@apexpiping.in,,https://www.apexpipingsanand.com/products/ms-tubes.html,Direct phone contact unverified.; No accredited quality (ISO/BIS) certifications verified on record.,Issue RFQ to Apex Piping Solutions (Sanand) for immediate local stock check and same-day depot pickup quote.
M-03,AHMEDABAD,7,Sabarmati Steel Corporation (Naroda),"Naroda GIDC, Ahmedabad, Gujarat",India,STOCKIST_TRADER,UNVERIFIED_LEAD,44.2,26,,,,,,+91-79-2281-4455,https://www.tradeindia.com/sabarmati-steel-naroda/,Commercial contact email unlisted.; Physical facility or warehouse address unlisted.; No accredited quality (ISO/BIS) certifications verified on record.; Stock availability and production capacity unverified.; Delivery and freight logistics arrangement unverified.,Issue RFQ to Sabarmati Steel Corporation (Naroda) for immediate local stock check and same-day depot pickup quote.
M-03,INDIA_OUTSIDE_AHMEDABAD,1,APL Apollo Tubes Limited,"Delhi NCR (Manufacturing: Raipur, Sikandrabad, Hosur)",India,PRIMARY_MANUFACTURER,EXACT_MATCH,99.0,1,World's largest hollow section & ERW tube producer with 2.6 Million MT capacity per annum.,BIS ISI Mark IS 1239; ISO 9001:2015; CE Mark; UL Listed,"Local regional distribution hub in Changodar, Ahmedabad carrying high buffer inventory.","37 Hargobind Enclave, Vikas Marg, Delhi 110092 (Distribution Centre: Changodar, Ahmedabad)",info@aplapollo.com,+91-11-2237-3456,https://www.aplapollo.com/products/ms-black-pipes-is1239.html,,Submit formal inquiry to APL Apollo Tubes Limited commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,2,Jindal Pipes Limited,"Ghaziabad, Uttar Pradesh (Branch: Ahmedabad, Gujarat)",India,PRIMARY_MANUFACTURER,EXACT_MATCH,99.0,2,"Annual ERW pipe manufacturing capacity of 250,000 MT across automated high-frequency induction weld mills.",BIS ISI Mark IS 1239 (CM/L-0018721); ISO 9001:2015; API 5L; ISO 14001,"Dedicated consignment stocking yard in Changodar, Ahmedabad with road freight transit of 2-3 days from primary mill.","Pipe House, 56 Hanuman Road, New Delhi 110001 (Mill: Ghaziabad, UP; Depot: Changodar, Ahmedabad)",pipesales@jindal.com,+91-11-4139-9999,https://www.jindal.com/jpl/product-specifications-is1239.html,,Submit formal inquiry to Jindal Pipes Limited commercial sales for factory dispatch schedule and MTC review.
M-03,INDIA_OUTSIDE_AHMEDABAD,3,Surya Roshni Limited (Steel Division),"New Delhi / Bahadurgarh, Haryana",India,PRIMARY_MANUFACTURER,EXACT_MATCH,99.0,3,"Annual steel pipe capacity of 700,000 MT across three integrated manufacturing units.",BIS Mark IS 1239; BIS Mark IS 3589; API 5L; ISO 9001:2015,Regular freight corridor to Gujarat (NH 48); delivery to Ahmedabad within 3 business days.,"Padma Tower-1, Rajendra Place, New Delhi 110008 (Gujarat Logistics Hub: Vadodara)",steel.marketing@surya.in,+91-11-2581-0093,https://www.suryaroshniltd.com/steel-division/is-1239-erw-pipes.html,,Submit formal inquiry to Surya Roshni Limited (Steel Division) commercial sales for factory dispatch schedule and MTC review.
