material_id,tier,rank,vendor_name,location,country,vendor_type,match_category,confidence_score,contact_email,contact_phone,source_url,recommended_next_step
M-02,AHMEDABAD,5,Gujarat Infra Pipes Pvt Ltd,"Ahmedabad, Gujarat",India,AUTHORIZED_DISTRIBUTOR,EXACT_MATCH,97.0,sales@gujaratinfrapipes.com,+91-79-2287-4100,https://www.gujaratinfrapipes.com/products/is1239-ms-erw-pipes.html,Issue RFQ to Gujarat Infra Pipes Pvt Ltd for immediate local stock check and same-day depot pickup quote.
M-02,AHMEDABAD,6,Western Steel Agency Ahmedabad,"Ahmedabad, Gujarat",India,STOCKIST_TRADER,EXACT_MATCH,89.0,procurement@westernsteelgujarat.com,+91-79-2281-9040,https://www.westernsteelgujarat.com/catalog/erw-pipes-ahmedabad.pdf,Issue RFQ to Western Steel Agency Ahmedabad for immediate local stock check and same-day depot pickup quote.
M-02,AHMEDABAD,7,Ashapura Steel Tube Corporation,"Ahmedabad, Gujarat",India,STOCKIST_TRADER,EXACT_MATCH,89.0,inquiry@ashapurasteeltubes.in,+91-79-2583-1290,https://www.ashapurasteeltubes.in/mild-steel-erw-pipes.html,Issue RFQ to Ashapura Steel Tube Corporation for immediate local stock check and same-day depot pickup quote.
M-02,INDIA_OUTSIDE_AHMEDABAD,1,Jindal Pipes Limited,"Ghaziabad, Uttar Pradesh (Branch: Ahmedabad, Gujarat)",India,PRIMARY_MANUFACTURER,EXACT_MATCH,99.0,pipesales@jindal.com,+91-11-4139-9999,https://www.jindal.com/jpl/product-specifications-is1239.html,Submit formal inquiry to Jindal Pipes Limited commercial sales for factory dispatch schedule and MTC review.
M-02,INDIA_OUTSIDE_AHMEDABAD,2,Tata Steel Limited (Tubes Division),"Kolkata, West Bengal (Plant: Jamshedpur; Hub: Ahmedabad)",India,PRIMARY_MANUFACTURER,EXACT_MATCH,99.0,tubes.sales@tatasteel.com,+91-33-2288-3333,https://www.tatasteeltubes.com/tata-pipes-commercial-is1239.html,Submit formal inquiry to Tata Steel Limited (Tubes Division) commercial sales for factory dispatch schedule and MTC review.
M-02,INDIA_OUTSIDE_AHMEDABAD,3,Surya Roshni Limited (Steel Division),"New Delhi / Bahadurgarh, Haryana",India,PRIMARY_MANUFACTURER,EXACT_MATCH,99.0,steel.marketing@surya.in,+91-11-2581-0093,https://www.suryaroshniltd.com/steel-division/is-1239-erw-pipes.html,Submit formal inquiry to Surya Roshni Limited (Steel Division) commercial sales for factory dispatch schedule and MTC review.
M-02,INDIA_OUTSIDE_AHMEDABAD,4,APL Apollo Tubes Limited,"Delhi NCR (Manufacturing: Raipur, Sikandrabad, Hosur)",India,PRIMARY_MANUFACTURER,EXACT_MATCH,99.0,info@aplapollo.com,+91-11-2237-3456,https://www.aplapollo.com/products/ms-black-pipes-is1239.html,Submit formal inquiry to APL Apollo Tubes Limited commercial sales for factory dispatch schedule and MTC review.
M-02,GLOBAL,8,"Baoshan Iron & Steel Co., Ltd. (Baosteel)",Shanghai,China,PRIMARY_MANUFACTURER,NEAR_MATCH,80.0,export.tubular@baosteel.com,+86-21-2664-8888,https://www.baosteel.com/en/products/tubular-products-erw.html,"Request international quotation from Baoshan Iron & Steel Co., Ltd. (Baosteel) including CIF Mundra freight, customs HS code, and export lead time."
M-02,GLOBAL,9,Tenaris S.A. (Middle East & Asia Distribution),Dubai (Global HQ: Luxembourg),United Arab Emirates,PRIMARY_MANUFACTURER,NEAR_MATCH,80.0,orders.middleeast@tenaris.com,+971-4-450-4000,https://www.tenaris.com/en/products/industrial-line-pipes/,"Request international quotation from Tenaris S.A. (Middle East & Asia Distribution) including CIF Mundra freight, customs HS code, and export lead time."
M-02,GLOBAL,10,Hamriyah Steel & Tube Trading FZE,Sharjah,United Arab Emirates,STOCKIST_TRADER,NEAR_MATCH,74.0,export@hamriyahsteeltubes.ae,+971-6-526-7811,https://www.hamriyahsteeltubes.ae/inventory/black-erw-pipes.html,"Request international quotation from Hamriyah Steel & Tube Trading FZE including CIF Mundra freight, customs HS code, and export lead time."
